,Total Population,Per Capita Income,Female Comp Sci,Male Comp Sci,state,county,FIPS,Computer Science Workforce,County,State,Lat,Long_,Confirmed,Deaths,Incidence_Rate,Case-Fatality_Ratio,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,47086.0,19884.0,107.0,321.0,28,151,28151,428.0,Washington,Mississippi,33.28392041,-90.94196237,2104.0,70.0,4791.728347263659,3.3269961977186315,0.138,0.084,0.16399999999999998,0.114,0.5
1,12028.0,21611.0,6.0,48.0,28,111,28111,54.0,Perry,Mississippi,31.17161885,-88.99281835,370.0,14.0,3090.286477908628,3.783783783783784,0.057,0.055999999999999994,0.11,0.273,0.503
2,8321.0,20589.0,14.0,71.0,28,019,28019,85.0,Choctaw,Mississippi,33.34598242,-89.24809382,168.0,5.0,2046.285018270402,2.9761904761904763,0.035,0.094,0.064,0.21899999999999997,0.588
3,23480.0,20629.0,85.0,158.0,28,057,28057,243.0,Itawamba,Mississippi,34.27993475,-88.3606733,669.0,18.0,2860.1966652415563,2.690582959641256,0.11599999999999999,0.07400000000000001,0.155,0.191,0.46399999999999997
4,10129.0,22567.0,6.0,90.0,28,015,28015,96.0,Carroll,Mississippi,33.44834567,-89.91994479,302.0,12.0,3036.091283804163,3.9735099337748334,0.08,0.14400000000000002,0.11900000000000001,0.12,0.537
5,21278.0,21668.0,23.0,129.0,28,043,28043,152.0,Grenada,Mississippi,33.77036166,-89.80245083,999.0,32.0,4812.602370170536,3.2032032032032034,0.055999999999999994,0.135,0.133,0.18899999999999997,0.486
6,7346.0,13374.0,0.0,0.0,28,063,28063,0.0,Jefferson,Mississippi,31.73397872,-91.03764977,231.0,9.0,3304.7210300429188,3.8961038961038965,0.076,0.083,0.13699999999999998,0.15,0.555
7,13714.0,17453.0,5.0,75.0,28,041,28041,80.0,Greene,Mississippi,31.21444233,-88.63922281,322.0,16.0,2370.0868541145296,4.9689440993788825,0.015,0.11199999999999999,0.07,0.262,0.541
8,35787.0,21352.0,99.0,235.0,28,093,28093,334.0,Marshall,Mississippi,34.76216286,-89.50299462,1050.0,14.0,2975.0099166997225,1.3333333333333333,0.013000000000000001,0.006,0.13,0.301,0.55
9,7372.0,15353.0,55.0,0.0,28,119,28119,55.0,Quitman,Mississippi,34.25157572,-90.28908,354.0,5.0,5212.014134275619,1.4124293785310735,0.040999999999999995,0.10099999999999999,0.1,0.312,0.446
10,32592.0,17713.0,86.0,139.0,28,011,28011,225.0,Bolivar,Mississippi,33.79696941,-90.87372121,1701.0,58.0,5553.741674284968,3.4097589653145213,0.12300000000000001,0.046,0.127,0.249,0.456
11,61223.0,28934.0,276.0,491.0,28,073,28073,767.0,Lamar,Mississippi,31.20572971,-89.5077704,1533.0,33.0,2420.156923416952,2.152641878669276,0.087,0.045,0.08,0.27,0.517
12,84915.0,25467.0,207.0,870.0,28,081,28081,1077.0,Lee,Mississippi,34.291877500000005,-88.68149954,2432.0,65.0,2846.5752141954213,2.6726973684210527,0.094,0.092,0.13,0.18,0.505
13,39737.0,17954.0,18.0,152.0,28,113,28113,170.0,Pike,Mississippi,31.17507789,-90.40392572,1183.0,47.0,3011.097536143352,3.972950126796281,0.11599999999999999,0.092,0.106,0.155,0.531
